                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.5894,                 1.4763,                 1.6785,                0.50853,                 0.3837,                0.40379,                 0.1617,                 2.1483,                 1.9794,                 2.0646,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.5868,                 1.4825,                 1.7092,                0.58035,                0.38619,                0.41125,                0.16443,                 2.1176,                  1.963,                 2.0447,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.6216,                 1.5194,                 1.7128,                0.51505,                0.36015,                 0.3743,                0.15532,                 2.0978,                 2.1422,                 2.0391,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.6035,                  1.491,                 1.6954,                0.44526,                0.43669,                0.40502,                0.16591,                 2.0629,                 1.9531,                 2.0086,             0.00085834,             0.00085834,             0.00085834
                    100,                  1.582,                  1.478,                 1.6758,                0.51176,                 0.4123,                0.40778,                0.16666,                 2.1062,                 2.0022,                 2.0353,             0.00085009,             0.00085009,             0.00085009
                    101,                  1.572,                 1.4689,                 1.6733,                0.54066,                0.40835,                 0.3954,                 0.1626,                 2.0684,                 1.9949,                 2.0163,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.5962,                 1.4862,                    1.7,                0.53714,                0.38815,                0.40493,                0.16874,                 2.0817,                 2.0272,                 2.0051,             0.00083358,             0.00083358,             0.00083358
                    103,                  1.583,                 1.4711,                 1.6829,                0.49448,                0.41503,                0.41094,                 0.1771,                  2.033,                 1.9332,                 1.9822,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.5813,                 1.4276,                 1.6896,                0.53977,                0.39845,                0.41044,                0.16777,                 2.0792,                 1.9321,                 2.0175,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.5692,                 1.4342,                  1.672,                0.46035,                0.39694,                0.37371,                0.14929,                 2.1129,                 1.9939,                 2.0473,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.5715,                 1.4174,                 1.6719,                0.51439,                0.40607,                0.40353,                0.17158,                 2.0343,                 1.9289,                 1.9778,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.5845,                 1.4414,                  1.708,                0.53697,                0.43502,                0.43496,                0.17888,                 2.0671,                 1.8669,                 1.9976,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.5604,                 1.3885,                  1.662,                0.53376,                0.38506,                0.40218,                0.16427,                 2.1338,                 2.0081,                 2.0585,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.5698,                 1.4276,                 1.6739,                0.50661,                0.42656,                0.40899,                0.16778,                 2.0949,                 1.9436,                 2.0301,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.5774,                 1.4413,                  1.692,                0.49195,                0.41018,                0.41359,                0.17278,                 2.0895,                 1.9297,                 2.0289,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.5601,                 1.4224,                 1.6675,                 0.5467,                0.40152,                0.41752,                0.17385,                   2.05,                 2.0487,                 2.0036,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.5627,                 1.4142,                 1.6634,                0.46879,                0.40425,                0.38499,                0.15387,                 2.1167,                 1.9869,                 2.0467,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.5357,                  1.406,                 1.6457,                0.55032,                0.38059,                0.40572,                0.16452,                 2.0715,                 1.9676,                 2.0179,             0.00074282,             0.00074282,             0.00074282
                    114,                 1.5456,                 1.4171,                 1.6534,                0.54724,                0.41138,                0.42433,                0.17588,                 2.0464,                 1.9129,                 1.9744,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.5429,                 1.3769,                 1.6473,                0.48022,                0.42673,                0.40892,                0.17362,                 2.0073,                 1.9418,                 1.9342,             0.00072631,             0.00072631,             0.00072631
                    116,                 1.5485,                 1.3783,                 1.6621,                0.51822,                0.41677,                 0.4083,                 0.1691,                 2.0453,                 1.9335,                 1.9943,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.5315,                 1.3772,                 1.6345,                0.52448,                0.40208,                0.42226,                0.17053,                 2.1035,                  1.924,                 2.0322,             0.00070981,             0.00070981,             0.00070981
                    118,                 1.5503,                 1.3703,                  1.641,                0.59763,                0.40628,                0.45091,                0.18999,                 2.0597,                 1.8642,                  1.987,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.5488,                 1.3894,                 1.6564,                0.55045,                0.40376,                0.42779,                0.16969,                 2.0728,                 1.9219,                  2.013,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.5155,                 1.3456,                  1.643,                0.55536,                0.39872,                0.42226,                0.16809,                 2.1399,                 1.9295,                 2.0396,             0.00068505,             0.00068505,             0.00068505
                    121,                 1.5165,                 1.3516,                 1.6512,                0.51345,                0.44641,                0.42861,                0.18693,                 2.0564,                 1.8859,                 1.9886,              0.0006768,              0.0006768,              0.0006768
